주차,발행일,요일,시각,형식,번호,기둥,제목안,썸네일문구,목표길이(분),목표검색어,원본,상태
W4,2026-10-06,화,12:30,숏폼,S17,파생,실패 컷 — L11 발췌,-,0.7,-,L11,미착수
W4,2026-10-06,화,20:00,롱폼,L13,P1,유튜브 썸네일 자동 생성 시스템 구축,썸네일 자동,17,썸네일 자동 생성,,미착수
W4,2026-10-07,수,12:30,숏폼,S18,파생,판정 컷 — L12 발췌,-,0.7,-,L12,미착수
W4,2026-10-08,목,12:30,숏폼,S19,파생,팁 컷 — L10 발췌,-,0.7,-,L10,미착수
W4,2026-10-08,목,20:00,롱폼,L14,P2,무료로 충분한 경우 / 절대 아닌 경우,무료의 한계,13,AI 도구 무료 유료 차이,,미착수
W4,2026-10-09,금,12:30,숏폼,S20,파생,수치 컷 — L11 발췌,-,0.7,-,L11,미착수
W5,2026-10-10,토,20:00,롱폼,L15,P4,업데이트로 바뀌는 것과 안 바뀌는 것,뭐가 바뀌나,8,AI 업데이트 정리,,미착수
W5,2026-10-12,월,12:30,숏폼,S21,파생,결과 컷 — L13 발췌,-,0.7,-,L13,미착수
W5,2026-10-13,화,12:30,숏폼,S22,파생,실패 컷 — L14 발췌,-,0.7,-,L14,미착수
W5,2026-10-13,화,20:00,롱폼,L16,P1,매일 하던 시장 조사 리포트 자동화,조사 자동화,18,시장조사 자동화,,미착수
W5,2026-10-14,수,12:30,숏폼,S23,파생,판정 컷 — L15 발췌,-,0.7,-,L15,미착수
W5,2026-10-15,목,12:30,숏폼,S24,파생,팁 컷 — L13 발췌,-,0.7,-,L13,미착수
W5,2026-10-15,목,20:00,롱폼,L17,P2,도입 전에 반드시 확인할 5가지,확인 5가지,12,업무 자동화 도입,,미착수
W5,2026-10-16,금,12:30,숏폼,S25,파생,수치 컷 — L14 발췌,-,0.7,-,L14,미착수
W6,2026-10-17,토,20:00,롱폼,L18,P3,회의록에서 실행 항목 자동 추출 설정,회의록 정리,11,회의록 자동 정리,,미착수
W6,2026-10-19,월,12:30,숏폼,S26,파생,결과 컷 — L16 발췌,-,0.7,-,L16,미착수
W6,2026-10-20,화,12:30,숏폼,S27,파생,실패 컷 — L17 발췌,-,0.7,-,L17,미착수
W6,2026-10-20,화,20:00,롱폼,L19,P1,SNS 게시물 예약 파이프라인 만들기,예약 자동화,16,SNS 자동 게시,,미착수
W6,2026-10-21,수,12:30,숏폼,S28,파생,판정 컷 — L18 발췌,-,0.7,-,L18,미착수
W6,2026-10-22,목,12:30,숏폼,S29,파생,팁 컷 — L16 발췌,-,0.7,-,L16,미착수
W6,2026-10-22,목,20:00,롱폼,L20,P2,수동 vs 자동 — 스톱워치로 실측했습니다,수동 vs 자동,13,업무 자동화 시간 절감,,미착수
W6,2026-10-23,금,12:30,숏폼,S30,파생,수치 컷 — L17 발췌,-,0.7,-,L17,미착수
W7,2026-10-24,토,20:00,롱폼,L21,P4,새 도구 나왔길래 실제 업무에 붙여봤습니다,붙여봤다,9,신규 AI 도구,,미착수
W7,2026-10-26,월,12:30,숏폼,S31,파생,결과 컷 — L19 발췌,-,0.7,-,L19,미착수
W7,2026-10-27,화,12:30,숏폼,S32,파생,실패 컷 — L20 발췌,-,0.7,-,L20,미착수
W7,2026-10-27,화,20:00,롱폼,L22,P1,이 채널 제작 공정 전체 공개 (1편),채널 공정,19,유튜브 자동화,,미착수
W7,2026-10-28,수,12:30,숏폼,S33,파생,판정 컷 — L21 발췌,-,0.7,-,L21,미착수
W7,2026-10-29,목,12:30,숏폼,S34,파생,팁 컷 — L19 발췌,-,0.7,-,L19,미착수
W7,2026-10-29,목,20:00,롱폼,L23,P2,6개월 쓰고 해지한 도구들,해지했다,12,AI 도구 해지,,미착수
W7,2026-10-30,금,12:30,숏폼,S35,파생,수치 컷 — L20 발췌,-,0.7,-,L20,미착수
W8,2026-10-31,토,20:00,롱폼,L24,P3,자동화 손익분기점 계산하는 법,손익분기,11,자동화 비용 계산,,미착수
W8,2026-11-02,월,12:30,숏폼,S36,파생,결과 컷 — L22 발췌,-,0.7,-,L22,미착수
W8,2026-11-03,화,12:30,숏폼,S37,파생,실패 컷 — L23 발췌,-,0.7,-,L23,미착수
W8,2026-11-04,수,12:30,숏폼,S38,파생,판정 컷 — L24 발췌,-,0.7,-,L24,미착수
W8,2026-11-05,목,12:30,숏폼,S39,파생,팁 컷 — L22 발췌,-,0.7,-,L22,미착수
W8,2026-11-06,금,12:30,숏폼,S40,파생,수치 컷 — L23 발췌,-,0.7,-,L23,미착수
